MRT,Latitude,Longitude,Road_name,Building,Address,Postal
Tan Kah Kee MRT Station,1.326392241,103.8065482,BUKIT TIMAH ROAD,TAN KAH KEE MRT STATION,651 BUKIT TIMAH ROAD TAN KAH KEE MRT STATION SINGAPORE 266268,266268
Stevens MRT Station,1.319334374,103.825567,STEVENS ROAD,STEVENS MRT STATION (TE11),82 STEVENS ROAD STEVENS MRT STATION SINGAPORE 257879,257879
Rochor MRT Station,1.303852185,103.8527694,ROCHOR CANAL ROAD,ROCHOR MRT STATION (DT13),11 ROCHOR CANAL ROAD ROCHOR MRT STATION SINGAPORE 188505,188505
Downtown MRT Station,1.27944619,103.8528404,CENTRAL BOULEVARD,DOWNTOWN MRT STATION (DT17),15 CENTRAL BOULEVARD DOWNTOWN MRT STATION SINGAPORE 018969,18969
Telok Ayer MRT Station,1.282068948,103.8486488,CROSS STREET,TELOK AYER MRT STATION (DT18),7 CROSS STREET TELOK AYER MRT STATION SINGAPORE 048416,48416
Fort Canning MRT Station,1.292481948,103.8443314,RIVER VALLEY ROAD,FORT CANNING MRT STATION (DT20),170 RIVER VALLEY ROAD FORT CANNING MRT STATION SINGAPORE 179038,179038
Bencoolen MRT Station,1.298918434,103.8503538,BENCOOLEN STREET,BENCOOLEN MRT STATION (DT21),31 BENCOOLEN STREET BENCOOLEN MRT STATION SINGAPORE 189658,189658
Jalan Besar MRT Station,1.305171388,103.8552957,JALAN BESAR,JALAN BESAR MRT STATION (DT22),90 JALAN BESAR JALAN BESAR MRT STATION SINGAPORE 208826,208826
Bendemeer MRT Station,1.313672528,103.8629776,KALLANG BAHRU,BENDEMEER MRT STATION (DT23),11 KALLANG BAHRU BENDEMEER MRT STATION SINGAPORE 339356,339356
Geylang Bahru MRT Station,1.321301102,103.8716226,KALLANG BAHRU,GEYLANG BAHRU MRT STATION (DT24),541 KALLANG BAHRU GEYLANG BAHRU MRT STATION SINGAPORE 339355,339355
Mattar MRT Station,1.326876715,103.8832475,MERPATI ROAD,MATTAR MRT STATION (DT25),60 MERPATI ROAD MATTAR MRT STATION SINGAPORE 379314,379314
Ubi MRT Station,1.32997426,103.8992267,UBI AVENUE 2,UBI MRT STATION (DT27),51 UBI AVENUE 2 UBI MRT STATION SINGAPORE 408899,408899
Kaki Bukit MRT Station,1.33496736,103.9084593,KAKI BUKIT AVENUE 1,KAKI BUKIT MRT STATION (DT28),30 KAKI BUKIT AVENUE 1 KAKI BUKIT MRT STATION SINGAPORE 415804,415804
Bedok North MRT Station,1.334742117,103.9179783,BEDOK NORTH ROAD,BEDOK NORTH MRT STATION (DT29),651 BEDOK NORTH ROAD BEDOK NORTH MRT STATION SINGAPORE 479481,479481
Bedok Reservoir MRT Station,1.33660783,103.9322346,BEDOK NORTH AVENUE 3,BEDOK RESERVOIR MRT STATION (DT30),371 BEDOK NORTH AVENUE 3 BEDOK RESERVOIR MRT STATION SINGAPORE 469724,469724
Tampines West MRT Station,1.345515306,103.938437,TAMPINES AVENUE 4,TAMPINES WEST MRT STATION (DT31),2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION SINGAPORE 529683,529683
Tampines East MRT Station,1.356191483,103.9546345,TAMPINES AVENUE 7,TAMPINES EAST MRT STATION (DT33),20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION SINGAPORE 529623,529623
Upper Changi MRT Station,1.341739784,103.9614726,UPPER CHANGI ROAD EAST,UPPER CHANGI MRT STATION (DT34),690 UPPER CHANGI ROAD EAST UPPER CHANGI MRT STATION SINGAPORE 485990,485990
Woodlands North MRT Station,1.448292453,103.7856927,WOODLANDS NORTH COAST ROAD,WOODLANDS NORTH MRT STATION (TE1),20 WOODLANDS NORTH COAST ROAD WOODLANDS NORTH MRT STATION SINGAPORE 737668,737668
Woodlands South MRT Station,1.427396053,103.7932643,WOODLANDS DRIVE 17,WOODLANDS SOUTH MRT STATION (TE3),30 WOODLANDS DRIVE 17 WOODLANDS SOUTH MRT STATION SINGAPORE 737741,737741
